date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2001-06-28,sh.600016,0.7288350000,0.7312644500,0.7234902100,0.7259196600,0.7288350000,2370391,35453604.0000,0.520965,-0.400003,78.302702,5.454320,19.914014,9.042668
2001-06-29,sh.600016,0.7254337700,0.7312644500,0.7244619900,0.7249478800,0.7259196600,1443129,21585907.0000,0.317171,-0.133865,78.197879,5.447018,19.887355,9.030562
2001-07-02,sh.600016,0.7254337700,0.7283491100,0.7181454200,0.7200889800,0.7249478800,1898800,28211565.0000,0.417319,-0.670244,77.673765,5.410510,19.754062,8.970036
2001-07-03,sh.600016,0.7200889800,0.7259196600,0.7166877500,0.7234902100,0.7200889800,1511085,22396046.0000,0.332107,0.472339,78.040645,5.436066,19.847367,9.012405
2001-07-04,sh.600016,0.7249478800,0.7332080100,0.7234902100,0.7249478800,0.7234902100,1578010,23653245.0000,0.346815,0.201476,78.197879,5.447018,19.887355,9.030562
2001-07-05,sh.600016,0.7482706000,0.7560448400,0.7317503400,0.7385528000,0.7249478800,7616494,116524373.0000,1.673955,1.876674,79.665400,5.549241,20.260576,9.200037
2001-07-06,sh.600016,0.7385528000,0.7453552600,0.7239761000,0.7239761000,0.7385528000,2670432,40106122.0000,0.586908,-1.973685,78.093057,5.439717,19.860697,9.018457
2001-07-09,sh.600016,0.7239761000,0.7273773300,0.7171736400,0.7196030900,0.7239761000,1682450,24937865.0000,0.369769,-0.604021,77.621354,5.406859,19.740733,8.963983
2001-07-10,sh.600016,0.7196030900,0.7288350000,0.7191172000,0.7244619900,0.7196030900,1438370,21411885.0000,0.316125,0.675216,78.145468,5.443368,19.874026,9.024510
2001-07-11,sh.600016,0.7244619900,0.7244619900,0.7166877500,0.7191172000,0.7244619900,1401404,20744353.0000,0.308001,-0.737758,77.568942,5.403209,19.727403,8.957931
2001-07-12,sh.600016,0.7166877500,0.7220325400,0.7108570700,0.7152300800,0.7191172000,2278952,33537834.0000,0.500869,-0.540540,77.149651,5.374002,19.620769,8.909509
2001-07-13,sh.600016,0.7181454200,0.7191172000,0.7021110500,0.7093994000,0.7152300800,1848330,27067344.0000,0.406226,-0.815217,76.520713,5.330192,19.460817,8.836877
2001-07-16,sh.600016,0.7142583000,0.7191172000,0.7011392700,0.7025969400,0.7093994000,1938130,28164202.0000,0.425963,-0.958906,75.786953,5.279081,19.274206,8.752140
2001-07-17,sh.600016,0.6948227000,0.6948227000,0.6690705300,0.6763588800,0.7025969400,5886106,81597933.0000,1.293650,-3.734440,72.956735,5.081937,18.554423,8.425297
2001-07-18,sh.600016,0.6768447700,0.6875343500,0.6749012100,0.6792742200,0.6763588800,3015646,42188145.0000,0.662779,0.431031,73.271203,5.103842,18.634399,8.461613
2001-07-19,sh.600016,0.6802460000,0.6875343500,0.6778165500,0.6802460000,0.6792742200,1939089,27209536.0000,0.426173,0.143065,73.376026,5.111143,18.661057,8.473718
2001-07-20,sh.600016,0.6860766800,0.6972521500,0.6851049000,0.6962803700,0.6802460000,1640069,23363125.0000,0.360455,2.357142,75.105604,5.231620,19.100925,8.673456
2001-07-23,sh.600016,0.6962803700,0.6991957100,0.6870484600,0.6909355800,0.6962803700,1882320,26749632.0000,0.413697,-0.767618,74.529078,5.191461,18.954302,8.606877
2001-07-24,sh.600016,0.6875343500,0.6875343500,0.6705282000,0.6763588800,0.6909355800,3069447,42852467.0000,0.674604,-2.109706,72.956735,5.081937,18.554423,8.425297
2001-07-25,sh.600016,0.6763588800,0.6792742200,0.6656693000,0.6705282000,0.6763588800,3355992,46258270.0000,0.737581,-0.862068,72.327797,5.038127,18.394471,8.352665
2001-07-26,sh.600016,0.6685846400,0.6705282000,0.6583809500,0.6705282000,0.6705282000,2621531,35744534.0000,0.576161,0.000000,72.327797,5.038127,18.394471,8.352665
